z,System #,Benchmark,System
0.7,21,9.9489,AcNH2 ... AcNH2
0.8,21,-8.2227,AcNH2 ... AcNH2
0.9,21,-14.93,AcNH2 ... AcNH2
0.95,21,-16.03,AcNH2 ... AcNH2
1,21,-16.26,AcNH2 ... AcNH2
1.05,21,-15.94,AcNH2 ... AcNH2
1.1,21,-15.26,AcNH2 ... AcNH2
1.25,21,-12.42,AcNH2 ... AcNH2
1.5,21,-8,AcNH2 ... AcNH2
2,21,-3,AcNH2 ... AcNH2
0.7,23,7.1093,AcNH2 ... Uracil
0.8,23,-10.8271,AcNH2 ... Uracil
0.9,23,-17.7,AcNH2 ... Uracil
0.95,23,-18.89,AcNH2 ... Uracil
1,23,-19.19,AcNH2 ... Uracil
1.05,23,-18.9,AcNH2 ... Uracil
1.1,23,-18.22,AcNH2 ... Uracil
1.25,23,-15.21,AcNH2 ... Uracil
1.5,23,-10.23,AcNH2 ... Uracil
2,23,-4.65,AcNH2 ... Uracil
0.7,20,12.7232,AcOH ... AcOH
0.8,20,-9.3799,AcOH ... AcOH
0.9,20,-17.45,AcOH ... AcOH
0.95,20,-18.79,AcOH ... AcOH
1,20,-19.09,AcOH ... AcOH
1.05,20,-18.72,AcOH ... AcOH
1.1,20,-17.94,AcOH ... AcOH
1.25,20,-14.56,AcOH ... AcOH
1.5,20,-9.21,AcOH ... AcOH
2,20,-3.59,AcOH ... AcOH
0.7,22,9.917,AcOH ... Uracil
0.8,22,-10.3254,AcOH ... Uracil
0.9,22,-17.9,AcOH ... Uracil
0.95,22,-19.19,AcOH ... Uracil
1,22,-19.49,AcOH ... Uracil
1.05,22,-19.15,AcOH ... Uracil
1.1,22,-18.41,AcOH ... Uracil
1.25,22,-15.14,AcOH ... Uracil
1.5,22,-9.86,AcOH ... Uracil
2,22,-4.15,AcOH ... Uracil
0.7,63,22.411,Benzene ...  AcOH
0.8,63,3.2459,Benzene ...  AcOH
0.9,63,-2.73,Benzene ...  AcOH
0.95,63,-3.6,Benzene ...  AcOH
1,63,-3.8,Benzene ...  AcOH
1.05,63,-3.65,Benzene ...  AcOH
1.1,63,-3.34,Benzene ...  AcOH
1.25,63,-2.24,Benzene ...  AcOH
1.5,63,-1.02,Benzene ...  AcOH
2,63,-0.26,Benzene ...  AcOH
0.7,52,11.7555,Benzene ...  AcOH (OH-pi)
0.8,52,0.0463,Benzene ...  AcOH (OH-pi)
0.9,52,-3.97,Benzene ...  AcOH (OH-pi)
0.95,52,-4.58,Benzene ...  AcOH (OH-pi)
1,52,-4.7,Benzene ...  AcOH (OH-pi)
1.05,52,-4.55,Benzene ...  AcOH (OH-pi)
1.1,52,-4.25,Benzene ...  AcOH (OH-pi)
1.25,52,-3.13,Benzene ...  AcOH (OH-pi)
1.5,52,-1.7,Benzene ...  AcOH (OH-pi)
2,52,-0.55,Benzene ...  AcOH (OH-pi)
0.7,47,21.851,Benzene ...  Benzene (TS)
0.8,47,4.1893,Benzene ...  Benzene (TS)
0.9,47,-1.64,Benzene ...  Benzene (TS)
0.95,47,-2.58,Benzene ...  Benzene (TS)
1,47,-2.87,Benzene ...  Benzene (TS)
1.05,47,-2.82,Benzene ...  Benzene (TS)
1.1,47,-2.6,Benzene ...  Benzene (TS)
1.25,47,-1.77,Benzene ...  Benzene (TS)
1.5,47,-0.83,Benzene ...  Benzene (TS)
2,47,-0.22,Benzene ...  Benzene (TS)
0.7,24,48.2886,Benzene ...  Benzene (pi-pi)
0.8,24,11.2776,Benzene ...  Benzene (pi-pi)
0.9,24,-0.23,Benzene ...  Benzene (pi-pi)
0.95,24,-2.07,Benzene ...  Benzene (pi-pi)
1,24,-2.74,Benzene ...  Benzene (pi-pi)
1.05,24,-2.8,Benzene ...  Benzene (pi-pi)
1.1,24,-2.58,Benzene ...  Benzene (pi-pi)
1.25,24,-1.54,Benzene ...  Benzene (pi-pi)
1.5,24,-0.49,Benzene ...  Benzene (pi-pi)
2,24,-0.06,Benzene ...  Benzene (pi-pi)
0.7,39,27.7131,Benzene ...  Cyclopentane
0.8,39,4.9912,Benzene ...  Cyclopentane
0.9,39,-2.16,Benzene ...  Cyclopentane
0.95,39,-3.24,Benzene ...  Cyclopentane
1,39,-3.57,Benzene ...  Cyclopentane
1.05,39,-3.47,Benzene ...  Cyclopentane
1.1,39,-3.17,Benzene ...  Cyclopentane
1.25,39,-2.07,Benzene ...  Cyclopentane
1.5,39,-0.9,Benzene ...  Cyclopentane
2,39,-0.19,Benzene ...  Cyclopentane
0.7,30,24.3135,Benzene ...  Ethene
0.8,30,5.43,Benzene ...  Ethene
0.9,30,-0.26,Benzene ...  Ethene
0.95,30,-1.13,Benzene ...  Ethene
1,30,-1.41,Benzene ...  Ethene
1.05,30,-1.4,Benzene ...  Ethene
1.1,30,-1.26,Benzene ...  Ethene
1.25,30,-0.69,Benzene ...  Ethene
1.5,30,-0.17,Benzene ...  Ethene
2,30,0.01,Benzene ...  Ethene
0.7,50,18.084,Benzene ...  Ethyne (CH-pi)
0.8,50,3.1078,Benzene ...  Ethyne (CH-pi)
0.9,50,-1.87,Benzene ...  Ethyne (CH-pi)
0.95,50,-2.65,Benzene ...  Ethyne (CH-pi)
1,50,-2.86,Benzene ...  Ethyne (CH-pi)
1.05,50,-2.79,Benzene ...  Ethyne (CH-pi)
1.1,50,-2.58,Benzene ...  Ethyne (CH-pi)
1.25,50,-1.79,Benzene ...  Ethyne (CH-pi)
1.5,50,-0.89,Benzene ...  Ethyne (CH-pi)
2,50,-0.27,Benzene ...  Ethyne (CH-pi)
0.7,56,12.4378,Benzene ...  MeNH2 (NH-pi)
0.8,56,1.2239,Benzene ...  MeNH2 (NH-pi)
0.9,56,-2.51,Benzene ...  MeNH2 (NH-pi)
0.95,56,-3.09,Benzene ...  MeNH2 (NH-pi)
1,56,-3.23,Benzene ...  MeNH2 (NH-pi)
1.05,56,-3.12,Benzene ...  MeNH2 (NH-pi)
1.1,56,-2.86,Benzene ...  MeNH2 (NH-pi)
1.25,56,-1.95,Benzene ...  MeNH2 (NH-pi)
1.5,56,-0.94,Benzene ...  MeNH2 (NH-pi)
2,56,-0.26,Benzene ...  MeNH2 (NH-pi)
0.7,55,11.5526,Benzene ...  MeOH (OH-pi)
0.8,55,0.3693,Benzene ...  MeOH (OH-pi)
0.9,55,-3.45,Benzene ...  MeOH (OH-pi)
0.95,55,-4.05,Benzene ...  MeOH (OH-pi)
1,55,-4.19,Benzene ...  MeOH (OH-pi)
1.05,55,-4.07,Benzene ...  MeOH (OH-pi)
1.1,55,-3.8,Benzene ...  MeOH (OH-pi)
1.25,55,-2.8,Benzene ...  MeOH (OH-pi)
1.5,55,-1.53,Benzene ...  MeOH (OH-pi)
2,55,-0.52,Benzene ...  MeOH (OH-pi)
0.7,40,19.7262,Benzene ...  Neopentane
0.8,40,3.4316,Benzene ...  Neopentane
0.9,40,-1.86,Benzene ...  Neopentane
0.95,40,-2.68,Benzene ...  Neopentane
